	Unnamed: 0	pc1	pc2	#SNP	iid	pop	c
0	0	-0.0317249023582077	-0.0286892909096521	494559	IREJ-T006.HO	Iran_Fars.HO	fuchsia
1	1	-0.0365108596721685	-0.0276491168163242	495565	IREJ-T009.HO	Iran_Fars.HO	fuchsia
2	2	-0.0373973429726007	-0.0227084204298217	496199	IREJ-T022.HO	Iran_Fars.HO	fuchsia
3	3	-0.0390097697365868	-0.0299879881767437	496034	IREJ-T023.HO	Iran_Fars.HO	fuchsia
4	4	-0.041965115086667	-0.0256329610374557	496263	IREJ-T026.HO	Iran_Fars.HO	fuchsia
5	5	-0.0398988819711879	-0.0261748578900357	495840	IREJ-T027.HO	Iran_Fars.HO	fuchsia
6	6	-0.0281377750462844	-0.0256310637296148	495105	IREJ-T037.HO	Iran_Fars.HO	fuchsia
7	7	-0.0383996872321346	-0.0271179997313851	495713	IREJ-T040.HO	Iran_Fars.HO	fuchsia
8	8	-0.0395151255467661	-0.0260186083075486	496172	IREJ-T053.HO	Iran_Fars.HO	fuchsia
9	9	-0.04726155517104	-0.0328130518291452	493719	IREJ-T064.HO	Iran_Fars.HO	fuchsia
10	10	-0.0348528085269217	-0.0308395875842227	489430	IREJ-T078.HO	Iran_Fars.HO	fuchsia
11	11	-0.0314605216935423	-0.0265696135324155	495213	IREJ-T090.HO	Iran_Fars.HO	fuchsia
12	12	-0.0352324065601801	-0.027894391079384	487392	IREJ-T101.HO	Iran_Fars.HO	fuchsia
13	13	-0.0373738740050484	-0.0325373630782842	496198	IREJ-T103.HO	Iran_Fars.HO	fuchsia
14	14	-0.0356874773998623	-0.0309194568574447	495762	IREJ-T111.HO	Iran_Fars.HO	fuchsia
15	15	-0.0425497465944873	-0.031275264286619	496208	IREJ-T184.HO	Iran_Fars.HO	fuchsia
16	16	-0.0465475619783762	-0.0309924695423794	495747	IREJ-T204.HO	Iran_Fars.HO	fuchsia
17	17	0.0313228650871159	-0.0474598485734529	495650	MAL-005.HO	Malawi_Yao.HO	silver
18	18	0.0334511144785377	-0.0476660065326271	492534	MAL-009.HO	Malawi_Yao.HO	silver
19	19	0.0309720282937672	-0.0474128874444001	490417	MAL-011.HO	Malawi_Chewa.HO	silver
20	20	0.0321696053518325	-0.0479007409448268	495223	MAL-012.HO	Malawi_Chewa.HO	silver
21	21	0.0316411909199606	-0.0465974209529157	494555	MAL-014.HO	Malawi_Chewa.HO	silver
22	22	0.0366401405506846	-0.0486628646631796	493547	MAL-015.HO	Malawi_Yao.HO	silver
23	23	0.0326584902693898	-0.0454961171535987	494806	MAL-018.HO	Malawi_Chewa.HO	silver
24	24	0.0311549197260456	-0.046855972873747	494995	MAL-019.HO	Malawi_Chewa.HO	silver
25	25	0.0319423037038976	-0.0468198951288053	490062	MAL-023.HO	Malawi_Chewa.HO	silver
26	26	0.0304621781254327	-0.048849225406242	494137	MAL-024.HO	Malawi_Yao.HO	silver
27	27	0.031417936631912	-0.0456063656584899	494981	MAL-025.HO	Malawi_Ngoni.HO	silver
28	28	0.031500605167433	-0.048212418630822	495195	MAL-026.HO	Malawi_Ngoni.HO	silver
29	29	0.0309470358359757	-0.0490068231221003	494880	MAL-028.HO	Malawi_Chewa.HO	silver
30	30	0.0357777331720677	-0.050875702008431	491725	MAL-032.HO	Malawi_Yao.HO	silver
31	31	0.0354018431294084	-0.0479720584654641	494596	MAL-043.HO	Malawi_Chewa.HO	silver
32	32	0.0345995872808749	-0.0476256886720306	494504	MAL-045.HO	Malawi_Chewa.HO	silver
