iid	SUBJID	AGE	BATCH	COUNTRY_FATHER	COUNTRY_MGF	COUNTRY_MGM	COUNTRY_MOTHER	COUNTRY_PGF	COUNTRY_PGM	COUNTRY_SELF	GROUPING_COLLECTION	GROUPING_CONTINENTAL_ORIGIN	GROUPING_PCA_LABEL1	GROUPING_PCA_LABEL2	POPRES_GENDER	PRIMARY_LANGUAGE	POPRES_GENDER_INFERRED	STATUS_OVERALL	STATUS_PASSED_QC1	STATUS_PASSED_QC2	NA	pc1	pc2	#SNP
30091	30091	59.0	9								UCSF African-American Controls	African-American	AfAm		Female		N	Passed QC	Y	Y		-0.020000123814300084	0.003664198104085135	48511
41578	41578	49.0	9								UCSF African-American Controls	African-American	AfAm		Female		N	Passed QC	Y	Y		-0.018482620921472615	0.005248406918967258	48673
9934	9934	24.0	9							USA	UCSF African-American Controls	African-American	AfAm/AmerInd		Male		N	Passed QC	Y	Y		-0.016828430445965513	0.009021047423532028	48300
9222	9222	36.0	9								UCSF African-American Controls	African-American	AfAm		Female		N	Passed QC	Y	Y		-0.019873444896251473	0.0020288137359729228	48274
18842	18842	25.0	9							USA	UCSF African-American Controls	African-American	AfAm		Female		N	Passed QC	Y	Y		-0.019015819729567646	-0.0005017881725590319	48251
17465	17465	36.0	9							USA	UCSF African-American Controls	African-American	AfAm/AmerInd/Eur		Male		N	Passed QC	Y	Y		-0.025606505191770837	0.007946481202435116	47741
38930	38930	50.0	9								UCSF African-American Controls	African-American	AfAm		Female		N	Passed QC	Y	Y		-0.015301564021683672	0.0026756460222155257	48290
41316	41316	48.0	9								UCSF African-American Controls	African-American	AfAm		Female		N	Passed QC	Y	Y		-0.004867890651416673	-0.00012225712549409802	48418
11821	11821	25.0	9							USA	UCSF African-American Controls	African-American	AfAm		Female		N	Passed QC	Y	Y		-0.015576133982475551	0.004653015468164228	47885
29989	29989	47.0	9								UCSF African-American Controls	African-American	AfAm		Female		N	Passed QC	Y	Y		-0.01698568566462231	0.005314236140887427	48429
44779	44779	42.0	9								UCSF African-American Controls	African-American	AfAm		Female		N	Passed QC	Y	Y		-0.02350526496531436	0.008856994871889652	48529
22186	22186	48.0	9								UCSF African-American Controls	African-American	AfAm		Female		N	Passed QC	Y	Y		-0.017267293375949573	0.0016753006328545361	48617
47294	47294	54.0	9								UCSF African-American Controls	African-American	AfAm		Female		N	Passed QC	Y	Y		-0.017238492509427494	0.005368822860292859	48136
11585	11585	33.0	9							USA	UCSF African-American Controls	African-American	AfAm		Male		N	Passed QC	Y	Y		-0.01362000689698649	0.005826144526475912	48352
49130	49130	41.0	9								UCSF African-American Controls	African-American	AfAm		Female		N	Passed QC	Y	Y		-0.022839300725384776	0.01023675674873602	48280
40594	40594	36.0	9							USA	UCSF African-American Controls	African-American	AfAm		Female		N	Passed QC	Y	Y		-0.02175011412429491	0.005716603036466026	47600
30125	30125	53.0	9							USA	UCSF African-American Controls	African-American	AfAm		Female		N	Passed QC	Y	Y		-0.019400684981358055	0.003766044302384974	48479
36707	36707	42.0	9							USA	UCSF African-American Controls	African-American	AfAm		Male		N	Passed QC	Y	Y		-0.015668291113555752	0.0006799090714527348	47691
28880	28880	42.0	9								UCSF African-American Controls	African-American	AfAm		Female		N	Passed QC	Y	Y		-0.020610082031925263	0.0064554691264443	48411
24378	24378	48.0	9							USA	UCSF African-American Controls	African-American	AfAm		Female		N	Passed QC	Y	Y		-0.01739209203960766	0.006787717477992434	48744
15826	15826	53.0	9							USA	UCSF African-American Controls	African-American	AfAm		Male		N	Passed QC	Y	Y		-0.012041514478842127	0.0028592418236720973	48577
42806	42806	47.0	9								UCSF African-American Controls	African-American	AfAm		Female		N	Passed QC	Y	Y		-0.016095623421563614	0.0015014713723954705	48328
27379	27379	42.0	9							USA	UCSF African-American Controls	African-American	AfAm		Female		N	Passed QC	Y	Y		-0.02002355135827839	0.0059165780986340484	48199
45537	45537	43.0	9								UCSF African-American Controls	African-American	AfAm		Female		N	Passed QC	Y	Y		-0.01802513141767055	0.007309162158801097	47705
867	867	54.0	9								UCSF African-American Controls	African-American	AfAm		Female		N	Passed QC	Y	Y		-0.015042334544633797	0.0022506582204844393	48606
4445	4445	67.0	9								UCSF African-American Controls	African-American	AfAm/AmerInd/Eur		Male		N	Passed QC	Y	Y		-0.02084193337717751	0.0023442018401956467	48040
39935	39935	25.0	9								UCSF African-American Controls	African-American	AfAm		Female		N	Passed QC	Y	Y		-0.0199741900238913	0.006574138214421487	48526
48354	48354	29.0	9								UCSF African-American Controls	African-American	AfAm		Female		N	Passed QC	Y	Y		-0.019930244613462503	0.0009162524922665051	48326
33947	33947	52.0	9							USA	UCSF African-American Controls	African-American	AfAm		Female		N	Passed QC	Y	Y		-0.020338715739520976	0.007883718720041436	47915
41928	41928	35.0	9								UCSF African-American Controls	African-American	AfAm		Female		N	Passed QC	Y	Y		-0.018562485229279106	0.005250461215042652	48746
42322	42322		9								UCSF African-American Controls	African-American	UCSF Other		Male		Y	Passed QC	Y	Y		-0.01587296553229813	0.003186948605174515	48459
49683	49683	64.0	9								UCSF African-American Controls	African-American	AfAm		Female		N	Passed QC	Y	Y		-0.0215733479102057	0.007283656858965988	48634
29423	29423		9								UCSF African-American Controls	African-American	AfAm		Male		N	Passed QC	Y	Y		-0.008946973130492366	0.0030136214323330307	48082
24433	24433	48.0	9								UCSF African-American Controls	African-American	AfAm		Female		N	Passed QC	Y	Y		-0.015143306897948216	0.008318599131089715	48121
22533	22533	57.0	9								UCSF African-American Controls	African-American	AfAm		Female		N	Passed QC	Y	Y		-0.021355606908184856	0.012184864288191703	48550
6619	6619	38.0	9							USA	UCSF African-American Controls	African-American	AfAm		Female		N	Passed QC	Y	Y		-0.004965261912727227	0.003897471030130498	48606
6612	6612	58.0	9								UCSF African-American Controls	African-American	AfAm		Female		N	Passed QC	Y	Y		-0.02240881570883509	0.008189420441315634	48641
26686	26686	25.0	9							USA	UCSF African-American Controls	African-American	AfAm		Male		N	Passed QC	Y	Y		-0.011907942268389364	0.002036753675697355	48272
470	470	27.0	9								UCSF African-American Controls	African-American	AfAm		Female		N	Passed QC	Y	Y		-0.02320652280048197	0.008635678676209927	47114
11478	11478	37.0	9								UCSF African-American Controls	African-American	AfAm		Female		N	Passed QC	Y	Y		-0.01860596897811203	0.008490505162906456	48739
41756	41756	24.0	9							USA	UCSF African-American Controls	African-American	AfAm		Female		N	Passed QC	Y	Y		-0.02186651745757421	0.01124786902372526	48054
12894	12894	45.0	9								UCSF African-American Controls	African-American	AfAm/AmerInd		Male		N	Passed QC	Y	Y		-0.014814260876114916	0.0068402967966837425	48304
49607	49607	37.0	9								UCSF African-American Controls	African-American	AfAm		Female		N	Passed QC	Y	Y		-0.01204607307303232	0.004853521681316499	48309
20537	20537	64.0	9							USA	UCSF African-American Controls	African-American	AfAm		Female		N	Passed QC	Y	Y		-0.02411840605292626	0.007944834951044278	48098
41717	41717	43.0	9							USA	UCSF African-American Controls	African-American	AfAm		Male		N	Passed QC	Y	Y		-0.006615534586673171	0.008459232408656533	48632
35056	35056	36.0	9							USA	UCSF African-American Controls	African-American	AfAm/AmerInd		Female		N	Passed QC	Y	Y		-0.020091004430088707	0.0030654802270457747	48196
34528	34528	44.0	9							USA	UCSF African-American Controls	African-American	AfAm/AmerInd		Male		N	Passed QC	Y	Y		-0.01298120311812682	0.0001706189164262105	48698
16079	16079	56.0	9								UCSF African-American Controls	African-American	AfAm		Female		N	Passed QC	Y	Y		-0.017378026849552967	0.005627733271973729	48481
22307	22307	55.0	9								UCSF African-American Controls	African-American	AfAm		Female		N	Passed QC	Y	Y		-0.017559772206990665	0.006826763707796026	48237
12846	12846	36.0	9								UCSF African-American Controls	African-American	AfAm		Female		N	Passed QC	Y	Y		-0.021737389159645605	0.006599130988130807	48548
27159	27159	42.0	9								UCSF African-American Controls	African-American	AfAm		Female		N	Passed QC	Y	Y		-0.020395429947191932	0.007287432949760372	48455
3455	3455	55.0	9								UCSF African-American Controls	African-American	AfAm		Female		N	Passed QC	Y	Y		-0.01783189975188632	0.001019220406824036	48416
5645	5645	45.0	9								UCSF African-American Controls	African-American	AfAm		Female		N	Passed QC	Y	Y		-0.022142480299679246	0.00761969157099299	48666
18800	18800	38.0	9								UCSF African-American Controls	African-American	AfAm		Female		N	Passed QC	Y	Y		-0.01651094327646142	0.005323466042161586	48581
16686	16686	26.0	9							USA	UCSF African-American Controls	African-American	AfAm/Eur		Female		N	Passed QC	Y	Y		-0.01059573585896983	-0.006111126016559032	48429
1677	1677	50.0	9							USA	UCSF African-American Controls	African-American	AfAm		Female		N	Passed QC	Y	Y		-0.01974918032218297	0.007430461026041083	48040
48695	48695	38.0	9								UCSF African-American Controls	African-American	AfAm		Female		N	Passed QC	Y	Y		-0.019855920518347545	0.008556467245762197	48335
42184	42184	55.0	9								UCSF African-American Controls	African-American	AfAm		Female		N	Passed QC	Y	Y		-0.008960298742622209	0.006016537857504928	48649
27161	27161	36.0	9								UCSF African-American Controls	African-American	AfAm		Female		N	Passed QC	Y	Y		-0.019371668843909517	0.014531944758779003	48247
27365	27365	60.0	9								UCSF African-American Controls	African-American	AfAm		Female		N	Passed QC	Y	Y		-0.019177090218911324	0.003433678475196115	48342
30941	30941	37.0	9							USA	UCSF African-American Controls	African-American	AfAm		Female		N	Passed QC	Y	Y		-0.016820678815231038	0.006533309948612305	48655
